,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
R2De0099,R2De0099,2017,4,Fall,December,0.5,0.09,1.29,0.48,0.04,0.52,5.78,0.37,0.4,SR2,7:36:00,24.9,35.56,99.5,2.6,8.12,12/8/17,2017-12-08,342,2,11.5,27.9,3.7,14.3,12.2,313,50.3,17.4,5.5,7.9,8.1,1.6,23,1.6,0,10.8,10.3,4.8,70.9,107.55,178.24,285.79,0.040239337,0.09762413,0.012946569,0.05003674,0.042688687,1.095209769,0.176003359,0.060883866,0.0192449,0.027642675,0.028342489,0.005598516,0.080478673,0.005598516,0,0.037789986,0.036040449,0.016795549,0.248084258,0.376325274,0.623674726,KByT,12/8/17,2017.934247,Dec,139581,9914,4412,478737,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2De0582,R2De0582,2019,24,Fall,December,0.4,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:02:00,26.16,33.61,-,1.927,7.69,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,30175,11345,5988,717389,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Fe0141,R2Fe0141,2018,6,Winter,February,1.6,0.1,5.23,0.41,NA,NA,NA,0.08,NA,SR2,8:39:00,23.24,35.4,120.7,2.08,7.97,2/21/18,2018-02-21,52,2,27.4,21.5,26.2,67.7,7.5,1433.5,197.6,105.2,0,15.6,74.1,5.8,319.7,9,17.8,80.2,52.4,15.1,54,112.79,1292.14,1404.93,0.019502751,0.015303254,0.018648616,0.048187454,0.005338344,1.020335533,0.140647577,0.074879175,0,0.011103756,0.052742841,0.00412832,0.227555821,0.006406013,0.01266967,0.057084695,0.037297232,0.010747866,0.038436079,0.08028158,0.91971842,KByT,2/21/18,2018.139726,Feb,13446,42912,16742,887998,Run_Jan2022,Coastal,21.4691667,-157.77752,NA,NA
R2Fe0391,R2Fe0391,2019,16,Winter,February,1,0.08,1.62,0.13,NA,NA,NA,0.08,NA,SR2,9:18:00,23.62,34.45,-99,2.183,7.92,2/25/19,2019-02-25,56,2,3,13.4,12.3,22.2,4.4,473.5,62.1,44.8,8.6,16.2,21.9,2.4,129.9,5.7,4.5,10.5,18.2,6.3,17.6,18.17,450.77,468.93,0.006397543,0.028575694,0.026229928,0.047341821,0.009383064,1.009745591,0.132429147,0.095536647,0.018339624,0.034546734,0.046702066,0.005118035,0.277013627,0.012155332,0.009596315,0.022391402,0.038811763,0.013434841,0.037532254,0.038747788,0.961273538,KByT,2/25/19,2019.150685,Feb,4018,7183,4872,1338569,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Fe0762,R2Fe0762,2021,33,Winter,February,0.2,0.13,1.2,0.23,NA,NA,NA,0.19,NA,SR2,9:18,24.39,35.03,-,2.12,7.69,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,129614,7944,3585,521937,Run2,Offshore,21.4691667,-157.77752,NA,NA
R2Ja0125,R2Ja0125,2018,5,Winter,January,1,0.08,1.43,0.21,NA,NA,NA,0.15,NA,SR2,13:57:00,24.7,34.3,78.9,1.99,8.19,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,11161,7235,2272,521819,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Ja0359,R2Ja0359,2019,15,Winter,January,0.6,0.09,1.33,0.26,0.58,0.84,9.33,0.2,0.63,SR2,8:54:00,24.26,35.22,-99.9,1.955,7.85,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,16085,11791,4583,769873,Run_Jan2022,Transition,21.4691667,-157.77752,NA,NA
R2Ja0602,R2Ja0602,2020,25,Winter,January,0.1,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:30:00,24.55,32.57,-,2.011,7.57,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,17543,1970,2114,813481,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Jn0201,R2Jn0201,2018,9,Spring,June,0.6,0.06,0.8,0.39,0.08,0.47,7.83,0.49,0.59,SR2,7:24:00,24.9,35.11,57,1.75,7.84,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,32092,38657,4990,1002354,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Jn0242,R2Jn0242,2018,10,Spring,June,0.7,0.05,1.28,0.2,NA,NA,NA,0.16,NA,SR2,7:22:00,26.47,34.04,102.1,2,7.97,6/19/18,2018-06-19,170,2,9.2,27,22.9,54.5,6.1,511.5,75.1,32.2,3.7,9.3,16.2,0,38.7,3.5,7.2,11.7,16.6,11.7,111.2,114.87,367.52,482.39,0.019071705,0.05597131,0.047471963,0.112979125,0.01264537,1.060345364,0.155683161,0.066750969,0.007670142,0.019279007,0.033582786,0,0.080225544,0.00725554,0.014925683,0.024254234,0.03441199,0.024254234,0.230518875,0.238126827,0.761873173,KByT,6/19/18,2018.463014,Jun,91377,144754,11765,937370,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Jn0502,R2Jn0502,2019,20,Spring,June,0.4,0.05,1.2,0.18,NA,NA,NA,0.15,NA,SR2,8:31:00,25.5,36.31,-99,1.985,7.51,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,105257,58577,4307,810250,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Ju0832,R2Ju0832,2021,36,Summer,June,0.3,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:29,25.84,34.83,-,1.986,7.7,6/21/21,2021-06-21,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/21/21,2021.468493,Jun,43765,85744,7800,816645,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Jy0249,R2Jy0249,2018,11,Summer,July,0.6,0.1,8.28,0.13,NA,NA,NA,0.02,NA,SR2,9:10:00,25.92,34.14,94.1,2.2,7.91,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,137453,39012,5200,812548,Run_Aug2022,Offshore,21.4691667,-157.77752,NA,NA
R2Jy0662,R2Jy0662,2020,28,Summer,July,0.5,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:59:00,26.55,33.31,-,2.27,7.67,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,42373,79205,9047,883691,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Ma0161,R2Ma0161,2018,7,Winter,March,0.5,0.08,2.59,0.17,NA,NA,NA,0.07,NA,SR2,11:04:00,24.31,34.5,86.5,1.9,8.11,3/28/18,2018-03-28,87,2,4.1,10.5,8.5,29.3,3,319.5,43.3,11.5,0,20,26.5,11.9,41,13.7,4.8,10.1,15,10.4,80.1,18.47,296.37,314.84,0.013022488,0.033350273,0.02699784,0.093063143,0.009528649,1.014801169,0.137530174,0.03652649,0,0.06352433,0.084169737,0.037796976,0.130224876,0.043514166,0.015245839,0.032079787,0.047643247,0.033032652,0.254414941,0.058664719,0.941335281,KByT,3/28/18,2018.235616,Mar,45104,24857,4648,642688,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Ma0423,R2Ma0423,2019,17,Winter,March,0.7,0.07,2.18,0.19,0.05,0.24,3.43,0.09,0.11,SR2,8:09:00,23.74,35.32,-49.8,1.86,7.77,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,24397,36517,6881,1230502,Run_Aug2022,Coastal,21.4691667,-157.77752,NA,NA
R2Ma0622,R2Ma0622,2020,26,Winter,March,0.7,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:37:00,24.04,32.85,-,1.913,7.71,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,24108,53547,11332,880920,Run2,Coastal,21.4691667,-157.77752,NA,NA
R2My0181,R2My0181,2018,8,Spring,May,0.7,0.07,2.54,0.31,NA,NA,NA,0.12,NA,SR2,7:24:00,24,34.31,102.6,1.652,7.9,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,8798,42964,9940,859268,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2My0482,R2My0482,2019,19,Spring,May,0.7,0.07,2.46,0.15,NA,NA,NA,0.06,NA,SR2,8:17:00,25.5,36.61,-99.9,2.1,7.54,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,52313,107187,11700,1159294,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2My0642,R2My0642,2020,27,Spring,May,0.5,NA,NA,NA,NA,NA,NA,NA,NA,SR2,10:04:00,25.72,33.33,-,2.111,7.47,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,23491,66626,8430,1109673,Run2,Transition,21.4691667,-157.77752,NA,NA
R2My0812,R2My0812,2021,35,Spring,May,0.3,0.1,1.43,0.15,0.09,0.24,2.4,0.1,0.17,SR2,9:27,24.5,35.05,-,1.941,7.61,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,55254,44553,8141,929636,Run2,Transition,21.4691667,-157.77752,NA,NA
R2No0079,R2No0079,2017,3,Fall,November,0.7,0.11,7.49,1.02,0.07,1.09,9.91,0.14,0.15,SR2,12:45:00,26.55,34.5,104.4,2.27,8.08,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,34560,15862,6986,548619,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2No0327,R2No0327,2018,14,Fall,November,0.9,0.07,3.77,0.38,NA,NA,NA,0.1,NA,SR2,9:49:00,26.63,35.95,-99.9,2.039,7.45,11/9/18,2018-11-09,313,2,7.6,21.1,15.1,52.9,6.4,631.3,80.5,32.6,0,15.1,25.6,5.5,96.4,7.3,8.3,26.2,25.5,15.2,114,70.2,543.32,613.51,0.012387736,0.034392267,0.024612476,0.086225163,0.010431778,1.028997082,0.131212205,0.053136868,0,0.024612476,0.041727111,0.008964809,0.157128653,0.011898747,0.013528712,0.04270509,0.041564115,0.024775472,0.185816042,0.114423563,0.885592737,KByT,11/9/18,2018.854795,Nov,8312,68307,9454,1230358,Run_Aug2022,Coastal,21.4691667,-157.77752,NA,NA
R2No0722,R2No0722,2020,31,Fall,November,0.4,NA,NA,NA,NA,NA,NA,NA,NA,SR2,9:53,26.18,35.45,-,2.165,7.71,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,57040,22152,5265,862380,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Oc0295,R2Oc0295,2018,13,Fall,October,1,0.09,4.77,0.29,NA,NA,NA,0.06,NA,SR2,9:05:00,26.93,34.89,-99.9,2.521,7.64,10/11/18,2018-10-11,284,2,7.9,27.6,12.4,51.3,4,605.5,75.4,31,0,11,19.6,0,81.1,7.7,5.1,14.2,24.8,13,103.4,59.34,531.11,590.46,0.013379399,0.046743217,0.021000576,0.086881414,0.006774379,1.025471666,0.12769705,0.05250144,0,0.018629543,0.033194459,0,0.13735054,0.01304068,0.008637334,0.024049047,0.042001152,0.022016733,0.175117705,0.100497917,0.899485147,KByT,10/11/18,2018.775342,Oct,10373,119254,9297,1478412,Run_Aug2022,Coastal,21.4691667,-157.77752,NA,NA
R2Oc0562,R2Oc0562,2019,23,Fall,October,1,NA,NA,NA,NA,NA,NA,NA,NA,SR2,12:15:00,27.65,33.58,-,1.947,8.01,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,23557,61899,12592,918199,Run2,Transition,21.4691667,-157.77752,NA,NA
R2Se0059,R2Se0059,2017,2,Summer,September,0.6,0.07,1.32,0.15,NA,NA,NA,0.11,NA,SR2,10:10:00,26.94,35.25,128.7,1.73,8.12,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,115932,30083,3729,668451,Run_Jan2022,Offshore,21.4691667,-157.77752,NA,NA
R2Se0269,R2Se0269,2018,12,Summer,September,0.9,0.11,1.81,0.29,0.07,0.36,3.27,0.16,0.2,SR2,9:09:00,27.38,33.24,117.3,2.1,7.8,9/11/18,2018-09-11,254,2,4,8,15.1,42.6,4.3,412.5,53.8,31.2,4.5,9.3,25.5,4.9,66.2,9.3,5.8,30.1,15.8,8.8,33.2,35.1,368.48,403.58,0.009911294,0.019822588,0.037415135,0.10555528,0.010654641,1.022102185,0.133306903,0.077308093,0.011150206,0.023043758,0.063184499,0.012141335,0.164031914,0.023043758,0.014371376,0.074582487,0.039149611,0.021804847,0.08226374,0.086971604,0.913028396,KByT,9/11/18,2018.693151,Sep,3677,26196,6723,1188746,Run_Aug2022,Transition,21.4691667,-157.77752,NA,NA
R2Se0702,R2Se0702,2020,30,Summer,September,1,0.09,1.75,0.14,NA,NA,NA,0.08,NA,SR2,9:16:00,27.27,35.44,-,1.965,7.5,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,21692,181757,17451,1262318,Run2,Transition,21.4691667,-157.77752,NA,NA
R837_R2,R837_R2,2017,1,Summer,August,1.3,0.12,5.13,0.27,NA,NA,NA,0.05,NA,SR8,9:00:00,27.48,35.24,175.5,1.925,7.94,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,0,241397,12671,1439821,Run_Aug2022,Coastal,21.44983333,-157.7932167,NA,NA
R8389_R2,R8389_R2,2019,16,Winter,February,1.7,0.05,2.06,0.14,NA,NA,NA,0.07,NA,SR8,13:30:00,23.84,33.97,-99.9,1.97,7.81,2/25/19,2019-02-25,56,2,5.5,38.4,15.9,44.9,3.9,657.1,63.5,137.2,25.5,128.5,69.8,8.6,188.5,5.1,0,6.1,49.5,13.3,28.2,41.51,605.06,646.58,0.008506295,0.059389403,0.024590925,0.069442296,0.006031736,1.016270222,0.098209038,0.212193387,0.039438275,0.198737975,0.107952612,0.013300752,0.291533917,0.007887655,0,0.009434254,0.076556652,0.020569767,0.043614093,0.064199326,0.935785208,KByT,2/25/19,2019.150685,Feb,6185,32302,7668,1484571,Run_Aug2022,Coastal,21.44983333,-157.7932167,NA,NA
R857_R2,R857_R2,2017,2,Summer,September,1.8,0.07,3.4,0.13,NA,NA,NA,0.04,NA,SR8,8:48:00,27.14,35.12,126.8,1.91,7.98,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,3283,202858,13236,1359408,Run_Jan2022,Coastal,21.44983333,-157.7932167,NA,NA
R8Ap0453,R8Ap0453,2019,18,Spring,April,2.3,0.1,5.2,0.08,NA,NA,NA,0.02,NA,SR8,14:58:00,25.23,36.88,-99,1.9,7.73,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,3151,145306,13420,1386733,Run_Aug2022,Coastal,21.44983333,-157.7932167,NA,NA
R8Ap0790,R8Ap0790,2021,34,Spring,April,0.4,NA,NA,NA,NA,NA,NA,NA,NA,SR8,13:40,25.02,34.84,-,2.051,7.94,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,3099,63409,8181,1388794,Run2,Coastal,21.44983333,-157.7932167,NA,NA
R8Au0530,R8Au0530,2019,21,Summer,August,1,NA,NA,NA,NA,NA,NA,NA,NA,SR8,13:34:00,28.62,33.28,98.2,2.039,8.11,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,11949,243038,27890,1646014,Run2,Coastal,21.44983333,-157.7932167,NA,NA
R8Au0550,R8Au0550,2019,22,Summer,August,0.7,NA,NA,NA,NA,NA,NA,NA,NA,SR8,12:52:00,28.4,33.15,-70.5,2.1,8.15,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,18580,77577,8220,883218,Run2,Transition,21.44983333,-157.7932167,NA,NA
R8Au0690,R8Au0690,2020,29,Summer,August,0.8,NA,NA,NA,NA,NA,NA,NA,NA,SR8,13:07:00,27.79,33.66,-,1.802,7.89,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,0,75266,9822,1403461,Run2,Transition,21.44983333,-157.7932167,NA,NA
R8De0097,R8De0097,2017,4,Fall,December,1.2,0.06,3.66,0.66,0.02,0.68,11.33,0.18,0.19,SR8,14:49:00,24.4,35.3,86.3,1.99,8.14,12/8/17,2017-12-08,342,2,17.5,40.7,28,44.9,8.3,633.7,143.7,51.3,0,40.7,26.9,3.4,84.2,4.9,13.5,29.5,35.5,27.7,73.4,55.99,563.54,619.53,0.02824722,0.065694962,0.045195551,0.072474295,0.013397253,1.022872177,0.231950027,0.082804707,0,0.065694962,0.043420012,0.005488031,0.13590948,0.007909222,0.021790712,0.047616742,0.057301503,0.044711313,0.11847691,0.090374962,0.909625038,KByT,12/8/17,2017.934247,Dec,30831,40916,7800,788414,Run_Jan2022,Coastal,21.44983333,-157.7932167,NA,NA
R8De0590,R8De0590,2019,24,Fall,December,1.2,NA,NA,NA,NA,NA,NA,NA,NA,SR8,12:24:00,25.92,33.56,-,2.023,7.92,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,12093,75410,15941,603729,Run2,Coastal,21.44983333,-157.7932167,NA,NA
R8De0750,R8De0750,2020,32,Fall,December,1.3,0.1,2.61,0.06,NA,NA,NA,0.02,NA,SR8,13:04,25.42,34.03,-,1.98,7.85,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,2757,127093,25894,1168866,Run2,Coastal,21.44983333,-157.7932167,NA,NA
R8Fe0139,R8Fe0139,2018,6,Winter,February,2.2,0.09,6.06,0.25,0.03,0.28,3.11,0.04,0.05,SR8,8:21:00,23.75,34.97,81.5,2.07,7.89,2/21/18,2018-02-21,52,2,39.8,41.1,67.2,101.2,5.1,1785.4,210.5,145.1,0,30.3,66.5,5,415.8,0,15.8,53.2,70.8,12.4,97.4,160.34,1584.5,1744.84,0.022810114,0.023555168,0.03851356,0.057999587,0.002922904,1.023245684,0.120641434,0.083159487,0,0.017365489,0.038112377,0.002865592,0.238302652,0,0.009055272,0.030489902,0.040576786,0.007106669,0.055821737,0.091893813,0.908106187,KByT,2/21/18,2018.139726,Feb,13459,188283,25342,1384002,Run_Aug2022,Coastal,21.44983333,-157.7932167,NA,NA
R8Fe0770,R8Fe0770,2021,33,Winter,February,5.7,0.14,2.75,0.24,0.02,0.26,1.86,0.09,0.09,SR8,14:20,23.92,34.88,-,2.01,7.82,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,2915,51053,6158,960808,Run2,Coastal,21.44983333,-157.7932167,NA,NA
